League,Sport,Country(ies),Season,Level on pyramid,Teams[a],Mat­ches,Reve­nue  (€ mil),Rev. / team(€ mil),Rev. / match(€ thou­sands),Ref.
Eliteserien,Association football,Norway,2017,1,16,240,152,9.5,633,[31]
Allsvenskan,Association football,Sweden,2017,1,16,240,145,9.1,604,[31]
3. Fußball-Liga (3. Liga),Association football,Germany,2017–18,3,20,380,143,7.2,376,[49]
Deutsche Eishockey Liga (DEL),Ice hockey,Germany,2018–19,1,14,410,130,9.3,317,[50]
Basketball Bundesliga (BBL),Basketball,Germany,2018–19,1,18,328,128,7.1,390,[50]
Lega Italiana Calcio Professionistico (Serie C),Association football,Italy,2017–18,3,57,990,126,2.2,127,[12]
Championnat de France de rugby à XV de 2e division (Rugby Pro D2),Rugby union football,France,2017–18,2,16,215,119.7,7.5,557,[51]
Kazakhstan Premier League,Association football,Kazakhstan,2017,1,12,198,118,9.8,596,[31]
Superleague Greece,Association football,Greece,2016–17,1,16,252,118,7.4,468,[31]
Liiga,Ice hockey,Finland,2018–19,1,15,495,117,7.8,236,[52]
Chilean Primera Division,Association football,Chile,–,1,18,194,113,6.3,582,[citation needed]
South African Premier Division,Association football,South Africa,–,1,16,240,111,6.9,463,[53]
Israeli Premier League,Association football,Israel,2016–17,1,14,240,108,7.7,450,[31]
Handball-Bundesliga (HBL),Handball,Germany,2018–19,1,18,306,105,5.8,343,[50]
English Football League Two (EFL League Two),Association football,England Wales,2018-19,4,24,557,102.7[y],4.3,184,[22]
Ligue Nationale de Basket Pro A (LNB Pro A),Basketball,France,2018–19,1,18,326,96.3,5.3,295,[54]
Egyptian Premier League,Association football,Egypt,–,1,20,306,95,4.7,310,[55]
Super Rugby,Rugby union football,Argentina Australia Japan New Zealand South Africa,2018,1 (Inter­national),15,127,94,7,740,[56]
Overwatch League (OWL),Overwatch,Worldwide,2019,1,12,466,89.3[z],7.4,192,[57]
Nemzeti Bajnokság I,Association football,Hungary,2016–17,1,12,198,89,7.4,449,[31]
Ukrainian Premier League (UPL),Association football,Ukraine,2016–17,1,14,186,89,6.4,478,[31]
Czech First League,Association football,Czech Republic,2016–17,1,16,240,74,4.6,308,[31]
Mexican Pacific League (Liga Mexicana del Pacífico; LMP),Baseball,Mexico,2012–13,1,8,306,72,9,235,[58]
Liga I,Association football,Romania,2016–17,1,14,268,71,5.1,265,[31]
EuroLeague,Basketball,Europe,2018-19,1 (Inter­national),16,260,69,4.3,265,[59][60]
Indian Super League (ISL),Association football,India,2018-19,1,10,95,65,6.5,684,[61]
A-League,Association football,Australia New Zealand,2017–18,1,10,140,63[aa],6.3,450,[62]
Eerste Divisie,Association football,Netherlands,2014–15,2,20,380,61,3.1,161,[63]
Super League,Rugby league football,England France[ab],2015,1,12,195,60,5,308,[64]
Cypriot First Division,Association football,Cyprus,2016–17,1,14,242,60,4.3,248,[31]
Women's National Basketball Association (WNBA),Basketball,United States,2019,1,12,220,53.8,4.5,245,[65]
Bangladesh Premier League,Twenty20 cricket,Bangladesh,2016–17,1,7,46,53.5,7.6,"1,164",[66]
Croatian First Football League (1. HNL),Association football,Croatia,2016–17,1,10,180,42,4.2,233,[31]
Copa Sudamericana,Association football,South America,2019,2 (Inter­national),54,105,41.5 [ac],0.8,395,[37]
Vyšejšaja Liha (Belarusian Premier League),Association football,Belarus,2017,1,16,223,41,2.6,184,[31]
First Professional Football League (Bulgarian First League),Association football,Bulgaria,2016–17,1,10,240,40,4,167,[31]
LNB Pro B,Basketball,France,2018-19,2,18,323,38.5,2.1,119,[54]
J3 League,Association football,Japan,2015,3,12,234,35,2.9,150,[38]
UAE Pro League,Association football,United Arab Emirates,2013–14,1,14,182,34.7[ad],2.5,191,[67]
Azerbaijan Premier League,Association football,Azerbaijan,2016–17,1,10,112,34,3.4,303,[31]
Serbian SuperLiga,Association football,Serbia,2016–17,1,16,296,32,2,108,[31]
Slovak Super Liga,Association football,Slovakia,2016–17,1,12,165,32,2.7,194,[31]
Liga de la Asociación de Clubs de Baloncesto (Liga ACB),Basketball,Spain Andorra,2016–17,1,18,295,30.1,1.7,102,[68]
Persian Gulf Pro League,Association football,Iran,2015–16,1,16,240,29,1.8,121,[69]
Pro14,Rugby union football,Ireland Italy Scotland South Africa Wales,2017–18,1 (Inter­national),14,153,26.9,1.9,176,[70]
Primera Categoría Serie A (Ecuadorian Serie A),Association football,Ecuador,2018,1,12,266,25,2.1,94,[71]
Veikkausliiga,Association football,Finland,2017,1,12,198,25,2.1,126,[31]
Mexican Baseball League (Liga Mexicana de Béisbol; LMB),Baseball,Mexico,2016,1,16,923,23,1.5,25,[72]
Russian Volleyball Super League (RVSL),Volleyball,Russia,2017,1,14,201,21.9[ae],1.6,109,[73]
Israeli Basketball Premier League (ISBL),Basketball,Israel,2018–19,1,12,215,20[af][ag],1.7,93,[74][75][76][77][78]
